,end_date_volume,vw_x,end_date_open_price,end_date_close_price,end_date_high_price,end_date_low_price,t_x,n_x,ticker,start_date_volume,vw_y,start_date_open_price,start_date_close_price,start_date_high_price,start_date_low_proce,t_y,n_y
1080,419826.0,28.6237,28.5,28.7,28.985,28.185,1610082000000,3852,EVOP,550748.0,26.8343,27.0,26.82,27.53,26.27,1609736400000,5622
1081,396791.0,116.061,119.28,115.94,119.5,114.41,1610082000000,7787,EVR,251297.0,108.2278,110.06,108.08,110.78,107.13,1609736400000,7651
1082,1909593.0,52.8739,52.9,53.0,53.2188,52.29,1610082000000,14367,EVRG,1582385.0,53.9805,55.36,53.75,55.64,53.54,1609736400000,11971
1083,1331092.0,12.8128,13.09,12.71,13.155,12.58,1610082000000,11504,EVRI,1812881.0,13.17,13.81,13.15,13.915,12.76,1609736400000,15169
1084,329419.0,39.686,39.96,39.85,40.27,39.275,1610082000000,4362,EVTC,504187.0,38.1885,39.7,38.33,39.7,37.49,1609736400000,5889
1085,2030943.0,90.5899,90.04,90.67,91.37,89.62,1610082000000,19040,EW,2432535.0,89.205,91.5,88.92,91.73,87.876,1609736400000,25801
1086,1138163.0,57.3834,57.86,57.89,57.95,56.5,1610082000000,10553,EWBC,807438.0,51.062,51.31,51.14,52.03,50.49,1609736400000,10731
1087,1540234.0,131.267,129.66,131.1,133.72,129.0449,1610082000000,24852,EXAS,1211078.0,128.7264,128.2,128.77,131.78,126.21,1609736400000,21382
1088,3268731.8117,59.0884,58.898,59.1784,59.4588,58.7452,1610082000000,36448,EXC,3590402.2825,57.8474,59.4728,57.7203,59.6411,57.2647,1609736400000,42463
1089,131642.0,87.4945,88.1,87.39,89.285,86.69,1610082000000,2734,EXLS,135580.0,83.6725,85.38,83.87,85.95,82.46,1609736400000,3229
1090,311115.0,112.5017,113.33,113.0,113.33,111.0,1610082000000,5591,EXP,364154.0,54.325,55.95,54.19,56.44,52.7,1585713600000,6160
