,0
1103,0000831001
1104,0001717393
1105,0001157762
1106,0001759138
1107,0001632127
1108,0000750686
1109,0000885550
1110,0000016058
1111,0001299939
1112,0001841387
1113,0001173382
1114,0001368493
1115,0000023217
1116,0000721371
1117,0000016988
1118,0000887596
1119,0000014707
1120,0001496671
1121,0001752036
1122,0000016160
1123,0001795579
1124,0001406666
1125,0000730255
1126,0001109138
1127,0001780652
1128,0001471824
1129,0001536196
1130,0001725123
1131,0001800682
1132,0001538849
1133,0001133869
1134,0000723612
1135,0001346830
1136,0001829576
1137,0001494259
1138,0001783180
1139,0001683606
1140,0001016178
1141,0001383496
1142,0001822309
1143,0001333835
1144,0000907471
1145,0000895051
1146,0000708781
1147,0000726958
1148,0000018230
1149,0000711772
1150,0000018255
1151,0000861842
1152,0000896159
1153,0000711669
1154,0001117171
1155,0001042074
1156,0001038572
1157,0001605301
1158,0001701809
1159,0001124105
1160,0000910612
1161,0001419536
1162,0001374310
1163,0001138118
1164,0001845149
1165,0001067294
1166,0000022356
1167,0000016040
1168,0001473844
1169,0000723188
1170,0000944148
1171,0001627223
1172,0001846968
1173,0001633336
1174,0001437958
1175,0000726601
1176,0001662579
1177,0001818201
1178,0001602584
1179,0000862692
1180,0001650107
1181,0000830524
1182,0001051470
1183,0001009001
1184,0001219601
1185,0000815097
1186,0001449488
1187,0001472072
1188,0001102934
1189,0001641398
1190,0000736772
1191,0001334978
1192,0001158324
1193,0000320340
1194,0001141103
1195,0001524513
1196,0001576940
1197,0001866633
1198,0001865861
1199,0000888746
1200,0001812234
1201,0001828250
1202,0001340652
1203,0001166691
1204,0001807192
1205,0001659352
1206,0001851909
1207,0001725057
1208,0001547580
1209,0000215466
1210,0001658566
1211,0001609702
1212,0001666071
1213,0000704562
1214,0001217234
1215,0000813672
1216,0000761648
1217,0001860543
1218,0001866782
1219,0001610618
1220,0001402057
1221,0001386570
1222,0001200375
1223,0000727273
1224,0001306830
1225,0001030475
1226,0001482541
1227,0000003197
1228,0000860489
1229,0001726122
1230,0001868275
1231,0001309082
1232,0001710366
1233,0001603454
1234,0001341766
1235,0001587246
1236,0001752828
1237,0001187953
1238,0001488775
1239,0001092662
1240,0001576340
1241,0001707919
1242,0001841425
1243,0000887733
1244,0000949157
1245,0001717161
1246,0001136352
1247,0001805387
1248,0000804753
1249,0001020214
1250,0001827090
1251,0000018748
1252,0001435064
1253,0001074692
1254,0001173489
1255,0001324404
1256,0001458412
1257,0001070680
1258,0001839530
1259,0000913341
1260,0001490906
1261,0001839519
1262,0000759944
1263,0001825249
1264,0001699838
1265,0001305773
1266,0000039263
1267,0001478069
1268,0001879103
1269,0001830081
1270,0001420800
1271,0001527166
1272,0000857949
1273,0001854640
1274,0001544206
1275,0001737927
1276,0001789972
1277,0001119774
1278,0001824814
1279,0000851205
1280,0001285650
1281,0001009759
